DealerID,DealerName,DealerLatitude,DealerLongitude,DealerEmail,DealerAvgRatingOutOf5,NumberOfPeopleRated
583,Ted Russell Ford/ Lincoln/ Isuzu Parkside,25.1131863,82.515397,bitbattle2018@mykaarma.com,2.29,614
59,Hoffman Porsche,24.6597181,83.2146587,bitbattle2018@mykaarma.com,2.59,290
604,BMW of Watertown,25.5947272,82.9904781,bitbattle2018@mykaarma.com,4.78,856
628,Route 18 Chrysler Jeep Dodge Ram,25.013869,82.7192475,bitbattle2018@mykaarma.com,3.04,539
652,MBUSA Engineering Center,24.4065577,83.1155135,bitbattle2018@mykaarma.com,2.85,928
674,Freedom Jeep Chrysler,25.9032362,83.0275023,bitbattle2018@mykaarma.com,3.13,220
675,Dodge Country,25.2902902,82.8667608,bitbattle2018@mykaarma.com,4.11,918
688,Yochum CDJR,25.9763523,82.8429041,bitbattle2018@mykaarma.com,2.14,228
690,Ted Russell Nissan,25.9206642,82.9366328,bitbattle2018@mykaarma.com,4.38,987
691,Pueblo Toyota,25.1247489,83.2662005,bitbattle2018@mykaarma.com,2.5,551
698,Mercedes-Benz of St. George,25.4096229,82.2401251,bitbattle2018@mykaarma.com,2.35,593
709,Acura Columbus,25.3619848,83.1904744,bitbattle2018@mykaarma.com,2.24,314
724,Klein Honda,26.1193079,82.9059293,bitbattle2018@mykaarma.com,2.15,591
729,Audi Annapolis,24.4765354,83.1165824,bitbattle2018@mykaarma.com,2.04,113
730,Audi Lubbock,25.2055022,83.3767003,bitbattle2018@mykaarma.com,4.75,495
738,Critz Auto Group ,25.5542059,82.8113496,bitbattle2018@mykaarma.com,4.62,233
739,Critz BMW ,25.6312483,83.4932014,bitbattle2018@mykaarma.com,3.85,482
771,BMW Cleveland,25.0756191,83.6101295,bitbattle2018@mykaarma.com,3.37,711
772,Jaguar Land Rover Solon,25.5155374,83.7723293,bitbattle2018@mykaarma.com,3.33,209
783,Hoffman Nissan,24.6155099,83.5176773,bitbattle2018@mykaarma.com,4.54,614
784,Hoffman Toyota,25.6492995,82.6749749,bitbattle2018@mykaarma.com,2.72,540
785,Hoffman Honda,25.095218,83.2080559,bitbattle2018@mykaarma.com,4.97,757
793,Grayson BMW,25.0667408,83.3994523,bitbattle2018@mykaarma.com,3.68,265
794,Grayson Hyundai/Subaru,24.846425,83.6467911,bitbattle2018@mykaarma.com,2.49,756
803,Hoffman Ford Lincoln,24.6964492,82.2288733,bitbattle2018@mykaarma.com,3.43,184
849,Subaru of Bend,26.0654587,83.0219136,bitbattle2018@mykaarma.com,3.65,355
883,Winslow BMW of Colorado Springs,25.3170243,83.4187068,bitbattle2018@mykaarma.com,4.97,220
890,Flag Chevrolet,25.7439967,83.0850702,bitbattle2018@mykaarma.com,4.89,836
891,Cadillac of Naperville,24.764102,82.3779998,bitbattle2018@mykaarma.com,4.55,718
896,Honda Lancaster,24.4491787,82.9991802,bitbattle2018@mykaarma.com,2.07,985
93,Hoffman Audi Hartford,24.8559808,82.723967,bitbattle2018@mykaarma.com,2.16,701
960,Heritage Cadillac,25.8296624,83.279509,bitbattle2018@mykaarma.com,2.73,867
983,Porsche Nashua,25.3151426,82.1224796,bitbattle2018@mykaarma.com,4.41,379
984,Audi Nashua,25.8283026,83.2812854,bitbattle2018@mykaarma.com,4.87,997
1029,CJDR of Tuscaloosa,25.8419196,82.4625727,bitbattle2018@mykaarma.com,2.1,143
